All forcings simulations,Natural forcings only,Observed,,
38.92,52.78,,,
43.23,48.67,,,
73.13,52.56,,,
58.61,72.62,,,
60.37,50.79,,,
57.18,50.39,,,
58.34,50.13,,,
56.95,63.58,,,
33.31,47.67,,,
47.25,67.61,,,
44.61,56.84,,,
66.59,63.74,,,
60.02,61.57,,,
48.73,48.69,,,
54.9,64.67,,,
47.27,60.27,,,
46.75,58.65,,,
61.81,54.24,,,
56.27,66.77,,,
68.57,60.38,,,
48.93,55.09,,,
57.73,57.07,,,
73.94,69.26,,,
53.17,49.12,,,
40.45,58.37,,,
74.82,58.78,,,
55.43,61.82,,,
45.39,60.23,,,
51.84,57.64,,,
55.58,59.57,,,
32.02,52.31,,,
44.89,41.71,,,
33.48,64.63,,,
64.55,63.87,,,
42.47,68.77,,,
50.93,52.11,,,
46.92,61.7,,,
50.77,47.17,,,
48.82,51.84,,,
51.34,55.5,,,
49.71,60.16,,,
57.7,49.12,,,
45.52,64.17,,,
62.63,49.09,,,
46.27,40.84,,,
48.55,72.24,,,
79.98,55.01,,,
50.09,64.99,,,
64.3,45.92,,,
49.53,50.15,,,
59.98,32.2,,,
53.2,53.43,,,
56.9,71.63,,,
58.87,68.08,,,
45.48,71.96,,,
43.66,52,,,
47.24,53.66,,,
46.86,63.72,,,
41.61,62.82,,,
40.24,63.3,,,
53.62,80.76,,,
45.06,35.78,,,
36.11,56.55,,,
53.66,58.94,,,
51.17,64.97,,,
55.52,50.63,,,
46,76.08,,,
40.64,60.17,,,
37.64,55.4,,,
61.98,52.44,,,
47.81,53.79,,,
65.72,61.6,,,
41.13,41.75,,,
55.73,39.6,,,
66.54,49.17,,,
68.44,62.81,,,
43.19,52.23,,,
32.5,52.35,,,
49.24,72.35,,,
57.91,56.65,,,
64.07,50.03,,,
62.67,56.06,,,
56.88,70.19,,,
57.12,61.14,,,
64.01,73.02,,,
50.18,72.83,,,
64.25,60.37,,,
59.06,43.94,,,
52.56,76.91,,,
57.9,55.71,,,
42.75,64.92,,,
43.43,60.64,,,
38.8,58.7,,,
58.16,54.34,,,
49.59,60.42,,,
68.69,74.27,,,
53.51,66.46,,,
51.06,52.05,,,
55.98,47.53,,,
60.3,64.88,,,
48.68,55.6,,,
42.57,56.07,,,
59.22,48.02,,,
40.63,47.67,,,
70.34,74.78,,,
64.26,47.23,,,
44.57,49.76,,,
51.55,53.61,,,
40.54,41.2,,,
52.97,55.92,,,
60.54,62.59,,,
55.02,41.37,,,
53.76,46.19,,,
51.97,56.16,,,
55.46,47.69,,,
60.58,49.72,,,
36.89,67.73,,,
56.43,66.15,,,
56.01,52.83,,,
51.9,57.52,,,
41.23,49.77,,,
51.75,63.62,,,
61.1,68.31,,,
68.63,68.79,,,
68.49,80.86,,,
48.57,45.04,,,
56.73,50.75,,,
53.21,54.07,,,
48.7,63.02,,,
45.77,56.89,,,
57.62,44.84,,,
54.36,66.73,,,
51.62,55.09,,,
49.77,51.01,,,
74.37,63.68,,,
58.49,53.74,,,
55.71,58.24,,,
56.29,38.64,,,
53.42,56.28,,,
54.23,51.37,,,
35.49,69.57,,,
58.99,65.86,,,
52.99,55.95,,,
49.9,54.68,,,
32.23,58.54,,,
54.38,55.22,,,
58.65,54.81,,,
64.61,46.05,,,
41.2,52.19,,,
61.06,72.67,,,
65.38,58.33,,,
56.8,64.6,,,
55,55.81,,,
48.62,48.98,,,
47.81,39.98,,,
58.6,66.59,,,
42.28,63.89,,,
76.51,48.11,,,
71.06,58.19,,,
42.1,76.36,,,
52.45,73.24,,,
56.94,52.58,,,
54.63,55.29,,,
56.75,60.05,,,
59.26,57.86,,,
36.07,69.72,,,
53.43,61.59,,,
53.16,59.27,,,
68.71,59.17,,,
42.35,48.58,,,
62.42,66.16,,,
61.75,70.03,,,
52.48,59.26,,,
39.82,57.43,,,
36.13,70.47,,,
54.4,56.46,,,
48.31,54.83,,,
61.64,61.94,,,
68.11,45.14,,,
43.96,52.01,,,
58.97,52.08,,,
48.19,57.88,,,
73.8,63.3,,,
40.82,66.19,,,
45.93,71.46,,,
52.98,68.57,,,
45.27,63.5,,,
55.88,43.3,,,
54.86,53.66,,,
58.46,69.44,,,
42.46,52.33,,,
49.93,55.54,,,
50.66,49.28,,,
65.71,57.01,,,
41.16,64.59,,,
44.44,49.72,,,
62.1,57.04,,,
45.16,64.77,,,
54.53,52.99,,,
47.28,57.11,,,
41.02,55.98,,,
44.89,55.55,,,
63.01,66.51,,,
55.91,53.8,,,
46.95,50.54,,,
43.69,39.97,,,
54.12,45.21,,,
58.33,66.5,,,
51.15,50.86,,,
65.32,58.91,,,
55.35,55.41,,,
42.61,64.01,,,
69.02,57.54,,,
36.11,58.26,,,
63.5,61.68,,,
60.29,46.94,,,
58.99,43.64,,,
64.72,59.39,,,
50.41,38.67,,,
47.67,54.2,,,
50.24,65.59,,,
50.48,49.51,,,
43.06,54.42,,,
61.05,50.33,,,
51.03,53.34,,,
36.56,52.52,,,
53.81,54.89,,,
55.75,56.7,,,
59.08,36.71,,,
63.32,61.29,,,
42.85,65.83,,,
47.84,70.47,,,
69.27,53.74,,,
47.85,49.63,,,
54.85,52.01,,,
41.07,74.91,,,
