All-forcings,Natural only,Observed,
49.18,51.02,,
46.79,49.57,,
46.37,48.5,,
42.31,54.55,,
50.53,52.3,,
49.07,55.91,,
47.62,51.34,,
47.49,56.29,,
49.12,50.78,,
49.11,52.05,,
49.29,51.57,,
48.26,52.87,,
50.77,53.15,,
48.64,52.21,,
50.59,52.19,,
46.8,46.96,,
48.09,54.02,,
52.84,51.63,,
47.53,52.71,,
50.71,50.16,,
50.13,50.82,,
51.08,46.6,,
47.93,52.17,,
52.75,57.72,,
52.44,53.68,,
47.29,53.5,,
48.87,49.47,,
46.06,49.84,,
45.91,51.06,,
44.57,53.55,,
44.46,54.6,,
49.15,56.1,,
45.19,45.94,,
44.15,51.35,,
48.17,50.59,,
50.91,53.12,,
50.24,52.65,,
44.39,56.45,,
46.5,50.51,,
44.4,53.89,,
50.26,49.24,,
45.75,50.34,,
53.14,52.69,,
47.18,48.57,,
50.37,49.66,,
51.37,52.26,,
51.64,51.64,,
48.51,51.75,,
45.01,53.06,,
49.55,53.86,,
51.86,51.17,,
52.05,52.5,,
49.88,51.87,,
50.08,54.32,,
53.61,53.29,,
53.11,54.79,,
47.12,53.51,,
56.79,54.06,,
49,47.8,,
48.09,54.54,,
49.37,52.14,,
46.77,51.98,,
43.91,53.8,,
45.46,50.8,,
48.96,49.74,,
50.54,51.03,,
51.51,56.11,,
47.55,55.29,,
47.52,49.87,,
48.54,50.33,,
49.31,53.64,,
47.43,53.56,,
46.74,48.68,,
51.31,51.29,,
47.28,49.38,,
54.66,56.45,,
46.69,49.05,,
50.56,52.26,,
47.74,53.52,,
46.4,52.93,,
51.43,51.91,,
48.62,52.65,,
46.91,48.35,,
49.17,46.96,,
48.77,52.75,,
51.36,52.39,,
50.8,51.12,,
46.22,56.02,,
51.36,54.49,,
51.15,51.85,,
49.06,53.8,,
45.49,47.2,,
49.62,52.93,,
49.32,53.62,,
53.5,56.05,,
50.85,56.98,,
51.15,51.59,,
52.35,51.94,,
46.88,49.65,,
46.93,51.52,,
49.55,50.65,,
49.02,50.77,,
47.55,55.31,,
49.86,51.86,,
47.1,48.53,,
51.54,53.26,,
53.16,50.71,,
48.46,51.81,,
49.61,47.27,,
47.98,50.58,,
52.48,50.86,,
46.39,54.34,,
53.78,55.25,,
50.06,51.12,,
49.25,51.32,,
41.27,52.46,,
47.58,53.22,,
50.7,51.52,,
50.78,48.16,,
48.52,51.7,,
49.09,53.05,,
48.53,51.91,,
48.8,53.39,,
49.4,50.62,,
45.97,49,,
44.69,47.38,,
50.27,53.35,,
47.86,53.97,,
49.84,48.54,,
52.02,52.57,,
43.75,57.29,,
50.54,50.43,,
46.97,52.89,,
48.36,53.36,,
51.15,54.81,,
47.19,52.17,,
46.22,53.21,,
47.01,52.6,,
46.62,50.72,,
52.22,50.85,,
46.11,51.87,,
51.93,53.04,,
51.89,54.87,,
52.09,50.46,,
45.89,53.72,,
45.46,51.84,,
51.58,53.22,,
48.04,51.54,,
51.36,52.96,,
50.4,47.52,,
46.29,51.57,,
49.34,49.36,,
48.97,51.68,,
53.88,54.46,,
45.93,54.96,,
50.15,54.94,,
49.26,52.72,,
46.96,51.77,,
50.81,47.87,,
47.93,49.25,,
53.15,55.72,,
45.18,51.95,,
48.92,52.5,,
49.61,50.22,,
50.39,54.82,,
45.92,52.55,,
44.97,51.96,,
49.69,52.8,,
47.35,51.36,,
51.25,53.02,,
47.25,50.59,,
45.41,55.17,,
48.49,52.19,,
49.57,55.88,,
52.25,52.04,,
49.05,50.99,,
49.77,46.86,,
49.35,52.93,,
50.23,55.04,,
47.09,51.2,,
51.26,52.87,,
52.73,50.94,,
45.85,49.99,,
51.71,53.19,,
46.05,53.72,,
52.59,54.82,,
50.86,51.68,,
49.71,50.75,,
52.58,53.61,,
47.51,51.77,,
48.48,51.78,,
48.69,53.12,,
47.73,49.03,,
44.52,52.31,,
48.08,52,,
51.48,49.17,,
43.61,51.21,,
48.09,52.63,,
47.18,51.7,,
51.54,48.9,,
50.89,51.57,,
47.1,51.37,,
48.55,54.81,,
52.33,52.49,,
47.07,48.2,,
50.8,50.94,,
46.68,54.95,,
